v0130;Vogl, Heinrich;1
g0628;Greiner, Johann Martial;1
r1700;Rauchenecker, Georg;1
r0021;Radecke, Rudolf;1
l1123;Loibl, Joseph;1
f0109;Feilitzsch, Karl von;1
l0023;Lachner, Theodor;1
f0433;Forster, Walter von;1
b0238;Baumgartner, August;1
k0500;Klingler, Karl;1
b0977;Brückner-Rüggeberg, Wilhelm;1
s0207;Scharrer, August Christian Karl;1
g0785;Mielke, Antonia;1
l0547;Lindner, Adalbert;1
w1282;Wolf, Sofie;1
l0611;Liuzzi, Fernando;1
w0127;Walker, Edyth;1
k0220;Keller, Hermann;1
h0558;Heffner, Carl;1
k0486;Klenau, Paul von;1
b1504;Boruttau, Alfred;1
r0019;Racky, Rudolf;1
t0651;Tietjen, Heinz;1
v0220;Valotti, Francesco Antonio;1
z0040;Zajíc, Florian;1
s2401;Seibel, Klauspeter;1
d1081;Dessau, Paul;1
k1077;Kündinger, Kanut;1
s0118;Sauer, Franz;1
m0966;Müller, Johann Valentin (2);1
b0124;Baresel, Alfred;1
w0537;Wetzel, Justus Hermann;1
w0910;Witzka, Karl Bonaventura;1
h1076;Hoelscher, Ludwig;1
b0376;Ben-Hayyîm, Paul;1
a0347;Armbruster, Carl;1
t0035;Tebaldini, Giovanni;1
m1045;Münch-Holland, Hans;1
m0730;Milojević, Miloje;1
w0077;Wagner, Wieland;1
k1003;Kromolicki, Joseph;1
f0409;Foesel, Karl;1
d0441;Dürrner, Johannes;1
h0388;An der Lan-Hochbrunn, Paul Eugen Josef von;1
w0585;Widmann, Wilhelm;1
g0467;Goller, Vinzenz;1
m0637;Mettenleiter, Bernhard;1
p0788;Prohaska, Carl;1
m0582;Menter-Schulze, Eugenie;1
p0364;Pfrogner, Hermann;1
b0382;Benda, Friedrich Wilhelm Heinrich;1
s0277;Schellhorn, Alois;1
k0856;Kraft, Karl;1
z0333;Zuth, Josef;1
l0221;Lauska, Franz;1
s2318;Schubert, Franz;1
v0022;Veichtner, Franz Adam;1
d0275;Döttl, Joseph;1
m1156;Moralt, Johann Baptist;1
e0158;Einstein, Alfred;1
l0182;Lasser, Joseph;1
w1146;Wand, Günter;1
r0156;Raucheisen, Michael;1
l0370;Lendvai, Erwin;1
